id,cep,type,name,neighborhood,id_city,id_federative_unit
01a02d6e-96ae-7869-bd4b-9d0a89bb2d84,74919348,alto,1º Alto 3,Parque Santa Cecília,83144263-d9a0-4d3a-81be-b648752dae11,GO
01a0315d-c6a1-747c-83b3-7b6697b6defb,74919348,alto,1º Alto 3,Parque Santa Cecília,83144263-d9a0-4d3a-81be-b648752dae11,GO
01a02d6f-fbbc-7cf9-a1e5-a78d76d6d9e6,74817015,avenida,2ª Avenida Radial,Conjunto Vila Isabel,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a03161-abf1-7ae8-bbe4-84bfe9a8b75c,74817015,avenida,2ª Avenida Radial,Conjunto Vila Isabel,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a02d70-7ecd-74e4-9dcd-4c5148f1779c,75255524,acesso,Acesso 1,Sitios Mansões Retiro,55906d12-a80d-410b-8d83-7fc953611512,GO
01a0315b-4cca-7778-bffb-b8dcea75d5d7,74445505,acesso,Acesso 1,Condomínio Alto da Boa Vista,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a0315c-a5be-7371-9144-8f3458d431c4,74663690,acesso,Acesso 1,Goiânia 2,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a0315d-b0f6-724b-af42-fd8ab33157aa,74913146,acesso,Acesso 1,Residencial Recanto do Cerrado,83144263-d9a0-4d3a-81be-b648752dae11,GO
01a03163-2a13-790e-9668-a20c4172bf5f,75255524,acesso,Acesso 1,Sitios Mansões Retiro,55906d12-a80d-410b-8d83-7fc953611512,GO
01a02d6e-8ed5-7787-98f6-e3a37ee4df38,74913146,acesso,Acesso 1,Residencial Recanto do Cerrado,83144263-d9a0-4d3a-81be-b648752dae11,GO
01a02d6e-3345-78dd-bf58-05b3627af0ac,74663690,acesso,Acesso 1,Goiânia 2,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a02d6d-bc42-774f-b718-89e62959e1cb,74445505,acesso,Acesso 1,Condomínio Alto da Boa Vista,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a02d70-7ecd-74e4-9dcc-4753cbc673a9,75255520,acesso,Acesso 2,Sitios Mansões Retiro,55906d12-a80d-410b-8d83-7fc953611512,GO
01a0315b-4cd7-7ca0-aa70-dff6118d0cf1,74445510,acesso,Acesso 2,Condomínio Alto da Boa Vista,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a0315c-a5d1-76de-995f-62ddfe765ec6,74663710,acesso,Acesso 2,Goiânia 2,0b3bf2af-0a0c-4d4f-a201-dda8f81a54c2,GO
01a0315d-b104-759b-8540-98f75b2b4f23,74913148,acesso,Acesso 2,Residencial Recanto do Cerrado,83144263-d9a0-4d3a-81be-b648752dae11,GO
01a03163-2a09-7902-af79-87e5e9b33a6d,75255520,acesso,Acesso 2,Sitios Mansões Retiro,55906d12-a80d-410b-8d83-7fc953611512,GO
