id,cep,type,name,neighborhood,id_city,id_federative_unit
01a02d80-bcb6-73d2-b7c1-41ead795063d,58407444,travessa,1ª Travessa Antônio Bernadino de Sena,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c086-7fe6-b311-becab8b35753,58410286,travessa,1ª Travessa Ariús,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-da2e-7db2-907b-8b7d98d5a1a6,58430121,travessa,1ª Travessa Beira Rio,Bodocongó,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-d25c-728f-88b1-004690f68e75,58421383,travessa,1ª Travessa Cantor Evaldo Braga,Acácio Figueiredo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-cc7b-747a-8624-c69f32ee9b7e,58416252,travessa,1ª Travessa Cônego João Borges,Quarenta,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-d840-76ac-91e7-69a8ae137832,58428812,travessa,1ª Travessa Cônego Pequeno,Bela Vista,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-b6a7-7a7e-ba88-6c951a9aa5c3,58403272,travessa,1ª Travessa Deputado Osmar de Aquino,Louzeiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c686-7a7e-a3db-36dddd8b372a,58414132,travessa,1ª Travessa Doutor Edésio Silva,Liberdade,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c086-7fe6-b316-f49389c26d98,58410298,travessa,1ª Travessa Elpídio de Almeida,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb6-73d2-b7b1-326a87427a66,58407391,travessa,1ª Travessa Estácio de Sá,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-1de8-7fb2-8819-8047b2744748,58111281,travessa,1ª Travessa Flávio Maroja Filho,Sesi,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
01a02d80-b2d8-7692-ba58-a987df40aad6,58401230,travessa,1ª Travessa Francisco Afonso de Albuquerque,Conceição,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bea1-79fd-88c8-e04e31fbebab,58408012,travessa,1ª Travessa Joaquim Azevedo,Vila Cabral,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-0e0e-7372-a8f1-a32b9474ace8,58437600,travessa,1ª Travessa João Pedro Ferreira da Silva,Serrotão,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-ce6f-7f8e-ad6b-fe6e2650c9dc,58417188,travessa,1ª Travessa Maria Lucena Barbosa,Santa Cruz,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb6-73d2-b7b5-fa1c3026571a,58407407,travessa,1ª Travessa Marinheira Agra,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c087-7888-a293-9ed08b494ff1,58410320,travessa,1ª Travessa Padre Nóbrega,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-b8a4-767c-902b-1112b9f42f1b,58406105,travessa,1ª Travessa Princesa Isabel,Santo Antônio,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-cc7a-7bcd-924a-62b24b3fe4f8,58416242,travessa,1ª Travessa Santa Rita,Quarenta,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-e62e-7fd6-af45-74ba44e53c90,58437610,travessa,1ª Travessa Santa Terezinha,Serrotão,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c68a-764e-aac8-50e6136d009f,58414582,travessa,1ª Travessa Sebastião Moreno dos Santos,Tambor,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c687-72f5-bc43-b1a42f1092f9,58414152,travessa,1ª Travessa Severino Pimentel,Liberdade,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-d83f-756c-83ae-1ef33bc0791d,58428512,travessa,1ª Travessa São Francisco,Pedregal,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-b6ab-78c1-87e3-940397c6961a,58404198,travessa,1ª Travessa São Lucas,Jeremias,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bab0-7493-9ef4-299ae77e7862,58407082,travessa,1ª Travessa São Luiz,Monte Castelo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c689-7e0b-9d51-d10d09a38ddc,58414562,travessa,1ª Travessa Teotonio Inácio de Sousa,Tambor,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb6-73d2-b7bd-8ce89bf2939f,58407432,travessa,1ª Travessa Tito Sodré,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-0c18-75ec-adeb-a935be2a6012,58407303,travessa,1ª Travessa Tomé de Sousa,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c689-7e0b-9d4d-9227e8bfc077,58414534,travessa,1ª Travessa Venezuela,Tambor,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-b0ce-7e60-9f7f-8bf3c17b2951,58400702,travessa,1ª Travessa da Borborema,Monte Santo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb6-73d2-b7c2-a30b78c7200b,58407445,travessa,2ª Travessa Antônio Bernadino de Sena,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c086-7fe6-b312-5e785a8edee1,58410288,travessa,2ª Travessa Ariús,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c878-701b-ae4e-9cc015bf63ce,58415380,travessa,2ª Travessa Augusto Borborema,Cruzeiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-da2f-7661-a208-f99cafef6de0,58430122,travessa,2ª Travessa Beira Rio,Bodocongó,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-0c14-7911-a975-8b99ce10228a,58100522,travessa,2ª Travessa Camilo de Holanda,Ponta de Matos,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-d25c-728f-88af-3071605f02b9,58421378,travessa,2ª Travessa Cantor Evaldo Braga,Acácio Figueiredo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-9751-7f23-a0c4-b26176afbb4a,58101528,travessa,2ª Travessa Carolino Cardoso,Poço,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-933b-7847-836c-2030c172570f,58100466,travessa,2ª Travessa Castelo Branco,Santa Catarina,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-cc7b-747a-8625-4265be1d26fa,58416253,travessa,2ª Travessa Cônego João Borges,Quarenta,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-d840-76ac-91e6-dae90ea8faed,58428811,travessa,2ª Travessa Cônego Pequeno,Bela Vista,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-1fd6-7fc5-87da-0e3aaa142fc8,58111632,travessa,2ª Travessa Damiana Paredes,São Bento,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
01a02d80-b6a7-7a7e-ba89-1657a71a8304,58403274,travessa,2ª Travessa Deputado Osmar de Aquino,Louzeiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c686-7a7e-a3dc-4b0fdb4c89b4,58414134,travessa,2ª Travessa Doutor Edésio Silva,Liberdade,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c085-763d-b7a2-d520b612d813,58410170,travessa,2ª Travessa Elpídio de Almeida,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-0c18-75ec-aded-81f73fd3fb6a,58407394,travessa,2ª Travessa Estácio de Sá,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-1de8-7fb2-881b-92733f19116c,58111287,travessa,2ª Travessa Flávio Maroja Filho,Sesi,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
01a02d80-b2d8-7f34-ba59-614c198969a8,58401233,travessa,2ª Travessa Francisco Afonso de Albuquerque,Conceição,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-933b-7847-835f-8da865ed95a1,58100316,travessa,2ª Travessa Francisco Serafim,Santa Catarina,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-bab0-7493-9ef2-5b7187c91055,58407076,travessa,2ª Travessa Gonçalves Dias,Monte Castelo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bea1-79fd-88c9-cef1e8721ff4,58408014,travessa,2ª Travessa Joaquim Azevedo,Vila Cabral,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-1de9-7822-9937-59a40712a463,58111418,travessa,2ª Travessa José Evandro de Vasconcelos,Sesi,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
01a02d80-c68a-764e-aac9-7bfc35ca40bc,58414584,travessa,2ª Travessa José Teixeira Alves Filho,Tambor,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-e62e-7fd6-af44-4d23dd6dee5d,58437605,travessa,2ª Travessa João Pedro Ferreira da Silva,Serrotão,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c689-7e0b-9d52-8aba419c4e45,58414563,travessa,2ª Travessa Laura Maria de Lima,Tambor,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-23dd-7c35-a54a-4b16a040382d,58113071,travessa,2ª Travessa Maria Feitosa,Alto da Boa Vista,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
01a02d80-ce6f-7f8e-ad6d-6046c51af6bc,58417193,travessa,2ª Travessa Maria Lucena Barbosa,Santa Cruz,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb6-73d2-b7b4-893efd5d301f,58407402,travessa,2ª Travessa Marinheira Agra,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-9b3e-7774-b1f2-e54aa5dce5a8,58103338,travessa,2ª Travessa Monsenhor José da Silva Coutinho,Jardim Brasília,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-9b3e-7774-b1e2-2593f9bb8f7c,58103236,travessa,2ª Travessa Monsenhor José da Silva Coutinho,Camalaú,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-e82a-7e47-b112-2811e85f46c8,58700151,travessa,2ª Travessa Oliveira Ledo,Centro,a46f0dbb-53a5-48d2-aab1-0ef1c6d6d8b6,PB
01a02d80-c087-7888-a28f-6de0f0acb2d7,58410313,travessa,2ª Travessa Padre Anchieta,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c087-7888-a292-fd8ea280dc4e,58410318,travessa,2ª Travessa Padre Nóbrega,Catolé,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-9b3e-7774-b1e6-87b07adb99ab,58103286,travessa,2ª Travessa Papa João XXIII,Camalaú,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-933a-7f83-8292-0e7b396b8456,58100218,travessa,2ª Travessa Pedro Aleixo de Moura,Centro,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-933b-7847-836e-9d2fdd04dbba,58100475,travessa,2ª Travessa Primo José Viana,Santa Catarina,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-b8a3-7dc0-9fc0-579914a8ef69,58406055,travessa,2ª Travessa Princesa Isabel,Santo Antônio,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-c877-701a-b8ca-2d0bb24634b5,58415371,travessa,2ª Travessa Professora Djanira Tavares,Cruzeiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-cc7a-7bcd-924b-f214fbf6a5e5,58416246,travessa,2ª Travessa Santa Rita,Quarenta,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-e62e-7fd6-af4b-5bd3b9a45429,58437676,travessa,2ª Travessa Santa Terezinha,Serrotão,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-9552-700b-8b98-61a1e7f301ac,58100619,travessa,2ª Travessa Santo Amaro,Ponta de Matos,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-b6aa-7783-9bb9-768a3dc5bf7e,58404093,travessa,2ª Travessa Santo Inácio,Jeremias,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-9b3f-7762-8e35-e788b85f1e38,58103520,travessa,2ª Travessa Severina Saraiva de Souza,Jardim Manguinhos,07158973-ad4e-4b76-b284-51abadc71d2b,PB
01a02d80-c687-72f5-bc44-e049b8fc3832,58414154,travessa,2ª Travessa Severino Pimentel,Liberdade,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bcb5-7b32-a18e-0ff4b1083e6e,58407336,travessa,2ª Travessa Silva Jardim,José Pinheiro,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-d83f-756c-83af-501d7591398d,58428514,travessa,2ª Travessa São Francisco,Pedregal,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-bab0-7eb5-9ef5-40c54be61a5b,58407084,travessa,2ª Travessa São Luiz,Monte Castelo,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d80-cc7d-70e8-a592-95fa747334a3,58416524,travessa,2ª Travessa São Pedro,Santa Rosa,63e45490-b867-4f81-a52e-dbeedb545cca,PB
01a02d81-1dea-70ce-8b84-4c001a2372b3,58111472,travessa,2ª Travessa Tenente José Heleno,Sesi,df0cf4c3-4e83-4aa4-ba33-5a160cc41aba,PB
