id,cep,type,name,neighborhood,id_city,id_federative_unit
01a02d92-0b05-7594-b4f9-a5963711b1c0,28928190,travessa,16ª Travessa Santo Graal,Unamar (Tamoios),07743a00-96d3-40bd-b4ba-eb707379b833,RJ
01a02d8b-cda2-7138-93fa-b2d2b803e690,21941900,other,21010-680,barra mansa,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02f44-af59-7159-a79f-e091ab574fc2,21941900,other,21010-680,barra mansa,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02d91-4959-75d3-938d-98c2604ace52,28525990,other,AGC Cantagalo - 5 Distrito CTG,,4c0f244e-c4c1-43a3-8a48-f24e60a1ef45,RJ
01a02d8c-3e80-7960-a4bc-af023625c53c,23025510,acampamento,Acampamento A,Guaratiba,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02f46-3762-7be0-9fa8-3a95844f6e0c,23025510,acampamento,Acampamento A,Guaratiba,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02d91-aa2d-75b5-b279-c2f7d8349afd,24350032,acampamento,Acampamento Oitenta e Quatro,Piratininga,10e336fd-2a35-4086-b9f7-76df8ba44766,RJ
01a0312c-ae7e-7eae-9b46-8b8ce6a68fad,24841203,acesso,Acesso A1 da RJ 116,Alto do Jacú (Sambaetiba),cb36efeb-eb85-4723-abab-d2a1fea1481f,RJ
01a02d8d-d02a-7fe0-bbe3-943158adc231,24841203,acesso,Acesso A1 da RJ 116,Alto do Jacú (Sambaetiba),cb36efeb-eb85-4723-abab-d2a1fea1481f,RJ
01a02d8b-5c0f-7381-a20d-420e1383f3f7,21520720,acesso,Acesso Atlético,Pavuna,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02f43-5d12-764d-b565-5744b7907a6a,21520720,acesso,Acesso Atlético,Pavuna,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
01a02d8b-5c0f-7381-a20c-16c4f1f24fcd,21520710,acesso,Acesso Caldense,Pavuna,ec1c8208-4226-41ae-9dce-76fcab2aef39,RJ
