id,cep,type,name,neighborhood,id_city,id_federative_unit
01a02d94-c222-783c-8567-cf09d0198b31,69311140,alameda,Alameda 1,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c222-783c-8568-98e2815990ef,69311142,alameda,Alameda 10,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c222-783c-8569-d4b91ebed724,69311144,alameda,Alameda 11,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c222-783c-856a-a5111644d59c,69311146,alameda,Alameda 12,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917a-718ab2aa7ba0,69311148,alameda,Alameda 13,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-9a95-7cd2-90b7-6cea06360828,69306555,alameda,Alameda 13 de Maio,Canarinho,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917b-11b59f668811,69311150,alameda,Alameda 14,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917c-e8fc025b34d9,69311152,alameda,Alameda 15,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917d-d69484b459e3,69311154,alameda,Alameda 16,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917e-e38bf4e9dcba,69311156,alameda,Alameda 17,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-917f-6f6d1cc735d5,69311158,alameda,Alameda 18,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-9180-a8b3e5b567d2,69311160,alameda,Alameda 19,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-9181-3d19ca735c14,69311162,alameda,Alameda 2,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-9182-160b2b3bc695,69311164,alameda,Alameda 20,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-710b-9183-2d028b16e3e2,69311166,alameda,Alameda 3,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9184-b6d7a6d1bc8b,69311168,alameda,Alameda 4,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9185-e0f9245d840b,69311170,alameda,Alameda 5,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9186-6b04c83eff1e,69311172,alameda,Alameda 6,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9187-6456fcc256d5,69311174,alameda,Alameda 7,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9188-bb3f0b2af95c,69311176,alameda,Alameda 8,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c223-79bf-9189-fdafc7d3d556,69311178,alameda,Alameda 9,Cauamé,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb35-18f5d53330a9,69315341,alameda,Alameda Acalifa,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb36-a961222e2dbd,69315343,alameda,Alameda Agapato,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb37-552322cceae1,69315345,alameda,Alameda Alamanda,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb38-0c8e2d0673cf,69315347,alameda,Alameda Allium,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-ba1f-72f2-91df-c9a2f05860e2,69317291,alameda,Alameda Alto Astral,Alvorada,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb39-cfb14d2afe92,69315349,alameda,Alameda Amor Perfeito,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-bc36-7a0e-bdfb-a97e1e267a50,69317480,alameda,Alameda Antares,Cidade Satélite,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb3a-d14456cdec67,69315351,alameda,Alameda Antúrio,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-947c-76ab-ad8a-0a11a63250f5,69304002,alameda,Alameda Anísio Paulo de Lucena,Mecejana,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-98a3-7fae-93ce-2c33bd54c8f5,69306372,alameda,Alameda Beta,Nossa Senhora Aparecida,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb3b-3d9c40525f68,69315353,alameda,Alameda Calendula,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-9a95-7cd2-90ba-0f2046896253,69306580,alameda,Alameda Canarinho,Canarinho,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb3d-903faad889b4,69315357,alameda,Alameda Cravina,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c420-7424-bb3c-83f9d659d9b5,69315355,alameda,Alameda Céu Estrelado,Residencial Vila Primavera,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-98a3-7fae-93cf-37c2321be9e9,69306373,alameda,Alameda Júpiter,Nossa Senhora Aparecida,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c01a-78fa-a703-25c966b5a258,69313289,alameda,Alameda Laura Pinheiro Maia,Olímpico,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-98a3-7fae-93d0-f4ad2c7efadd,69306374,alameda,Alameda Neturno,Nossa Senhora Aparecida,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-98a3-7fae-93cd-8d9dc76fbde5,69306371,alameda,Alameda Platão,Nossa Senhora Aparecida,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c221-7f89-86a6-0ff74d7abd60,69307792,alameda,Alameda Ribeiro Campos,Caçari,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-8319-136d547eb68d,69310013,alameda,Alameda SD-01,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-831a-498df00c80cb,69310015,alameda,Alameda SD-02,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-831b-c880b85cf89c,69310018,alameda,Alameda SD-03,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-831c-c5c324f333d1,69310020,alameda,Alameda SD-04,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-831d-f9fc4b90722e,69310023,alameda,Alameda SD-05,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c01a-705e-a6e3-816f1fcd5a77,69310025,alameda,Alameda SD-06,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a09a-7762-831e-a69233be6918,69310028,alameda,Alameda SD-07,Aeroporto,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-9a96-756b-9009-d9801f505d81,69306675,alameda,Alameda Santos Dumont,São Pedro,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-c221-76b8-8698-b14b9f0d0a03,69307205,alameda,Alameda Sebastião Ferreira da Costa,Paraviana,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-9e87-7995-b618-5b1ed35a0757,69309360,alameda,Alameda das Acácias,Pricumã,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a099-7664-8f88-2327a76bdb13,69309510,alameda,Alameda das Hortências,Pricumã,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a099-7664-8f91-46342d979089,69309570,alameda,Alameda das Onze Horas,Pricumã,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a099-7eb6-8f93-c995296314ec,69309580,alameda,Alameda das Orquídeas,Pricumã,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-b037-7933-9a7d-0b8e708769f7,69314520,alameda,Alameda do Coentro,Doutor Sílvio Botelho,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
01a02d94-a099-7664-8f90-23f113a8d7bc,69309565,alameda,Alameda dos Bambus,Pricumã,52d99a8c-b151-45dd-8e7f-88e56a303202,RR
