"ibge_code","id_federative_unit","name","id"
2600302,PE,Agrestina,"01a02d5a-7ff0-7ee3-a5cb-63ec9458a8be"
3201159,ES,Brejetuba,"01a02d5a-7ff5-763d-80cd-a91710349b1b"
3552502,SP,Suzano,"01a02d5a-7ff9-7e36-8235-8d5fa0f20913"
4313466,RS,Novo Xingu,"01a02d5a-7ffd-72d0-bbc6-c725284810e1"
5214879,GO,Nova Iguaçu de Goiás,"01a02d5a-8000-76ee-ab07-ed02fbe5a60d"
5214903,GO,Nova Roma,"01a02d5a-8003-7ca3-a4f9-96ce8bf292a9"
5215009,GO,Nova Veneza,"01a02d5a-8004-758d-96c6-2f6c6492e3f2"
5215207,GO,Novo Brasil,"01a02d5a-8004-758d-96c7-465f7d976892"
5215231,GO,Novo Gama,"01a02d5a-8004-7e31-96c8-cd6d8c0e1551"
5215256,GO,Novo Planalto,"01a02d5a-8004-7e31-96c9-dff470f78ea4"
5215306,GO,Orizona,"01a02d5a-8005-76fc-b053-ec7a2130d135"
5215405,GO,Ouro Verde de Goiás,"01a02d5a-8006-714d-b3c9-b41ca9c56f7e"
5215504,GO,Ouvidor,"01a02d5a-8006-714d-b3ca-4df007f18090"
5215603,GO,Padre Bernardo,"01a02d5a-8006-7a41-b3cb-2b96b5d01e50"
5215652,GO,Palestina de Goiás,"01a02d5a-8006-7a41-b3cc-e0eccb28b40f"
5215702,GO,Palmeiras de Goiás,"01a02d5a-8006-7a41-b3cd-f837e13d9ee4"
5215801,GO,Palmelo,"01a02d5a-8006-7a41-b3ce-79776d93147e"
5215900,GO,Palminópolis,"01a02d5a-8007-7a86-a2b2-9a963279ff0e"
5216007,GO,Panamá,"01a02d5a-8007-7a86-a2b3-13b23841f612"
5216304,GO,Paranaiguara,"01a02d5a-8007-7a86-a2b4-2f94a5cf4f25"
5216403,GO,Paraúna,"01a02d5a-8007-7a86-a2b5-552c2fe251d6"
5216452,GO,Perolândia,"01a02d5a-8007-7a86-a2b6-a54077c0a12c"
5216809,GO,Petrolina de Goiás,"01a02d5a-8007-7a86-a2b7-94b23f8eb18e"
5216908,GO,Pilar de Goiás,"01a02d5a-8007-7a86-a2b8-7a735a18ea92"
5217104,GO,Piracanjuba,"01a02d5a-8009-72bd-8bb3-f9c9cb846cc9"
5217203,GO,Piranhas,"01a02d5a-8009-72bd-8bb4-f943601ebb44"
5217302,GO,Pirenópolis,"01a02d5a-8009-72bd-8bb5-aa5965070ce2"
5217401,GO,Pires do Rio,"01a02d5a-8009-72bd-8bb6-766bc39b76c0"
5217609,GO,Planaltina,"01a02d5a-8009-72bd-8bb7-3271b1048e88"
5217708,GO,Pontalina,"01a02d5a-8009-72bd-8bb8-f95cd7a8ccc7"
5218003,GO,Porangatu,"01a02d5a-800a-72e9-aa90-0ce7a4243252"
5218052,GO,Porteirão,"01a02d5a-800a-72e9-aa91-1d22ff145026"
5218102,GO,Portelândia,"01a02d5a-800a-72e9-aa92-ccd54fe90179"
5218300,GO,Posse,"01a02d5a-800a-72e9-aa93-5ee66ab81c46"
5218391,GO,Professor Jamil,"01a02d5a-800b-7304-a61c-b840a8e3a7a2"
5218508,GO,Quirinópolis,"01a02d5a-800b-7304-a61d-7b00d9086228"
5218607,GO,Rialma,"01a02d5a-800b-7304-a61e-39fd9d19d784"
5218706,GO,Rianápolis,"01a02d5a-800b-7304-a61f-2ee6e40c0825"
5218789,GO,Rio Quente,"01a02d5a-800b-7304-a620-7d144b571594"
5218805,GO,Rio Verde,"01a02d5a-800c-72fa-9633-e6c4b94f436d"
5218904,GO,Rubiataba,"01a02d5a-800c-72fa-9634-e6521069cbae"
5219001,GO,Sanclerlândia,"01a02d5a-800c-72fa-9635-9c0e6f48eca3"
5219100,GO,Santa Bárbara de Goiás,"01a02d5a-800c-72fa-9636-735877dc29d9"
